P,bits,policy,seed,storage,auc,tpr_at_fpr,signal_mean,signal_std,noise_mean,noise_std,peak_count,bits_needed,overflowed
2000,1,wrap,1,"sign{-1,+1}",0.893565,0.573,179.32,101.384,3.23,98.488,178,9,0
2000,1,wrap,2,"sign{-1,+1}",0.89049,0.554,180.019,99.163,5.402,102.039,184,9,0
2000,1,wrap,3,"sign{-1,+1}",0.89579,0.5545,179.582,98.487,6.316,97.761,166,9,0
2000,1,wrap,4,"sign{-1,+1}",0.896463,0.562,178.313,98.227,2.78,98.342,168,9,0
2000,1,saturate,0,"sign{-1,+1}",0.881204,0.5065,177.113,98.568,8.302,102.416,174,9,0
2000,1,saturate,1,"sign{-1,+1}",0.893565,0.573,179.32,101.384,3.23,98.488,178,9,0
2000,1,saturate,2,"sign{-1,+1}",0.89049,0.554,180.019,99.163,5.402,102.039,184,9,0
2000,1,saturate,3,"sign{-1,+1}",0.89579,0.5545,179.582,98.487,6.316,97.761,166,9,0
2000,1,saturate,4,"sign{-1,+1}",0.896463,0.562,178.313,98.227,2.78,98.342,168,9,0
2000,1,scale,0,"sign{-1,+1}",0.881204,0.5065,177.113,98.568,8.302,102.416,174,9,0
2000,1,scale,1,"sign{-1,+1}",0.893565,0.573,179.32,101.384,3.23,98.488,178,9,0
2000,1,scale,2,"sign{-1,+1}",0.89049,0.554,180.019,99.163,5.402,102.039,184,9,0
2000,1,scale,3,"sign{-1,+1}",0.89579,0.5545,179.582,98.487,6.316,97.761,166,9,0
2000,1,scale,4,"sign{-1,+1}",0.896463,0.562,178.313,98.227,2.78,98.342,168,9,0
2000,2,wrap,0,ap_int<2>,0.492683,0.0505,1.962,136.789,4.628,142.095,174,9,1
2000,2,wrap,1,ap_int<2>,0.497827,0.053,-1.276,140.757,-0.036,143.089,178,9,1
2000,2,wrap,2,ap_int<2>,0.505919,0.055,4.39,138.684,1.508,137.704,184,9,1
2000,2,wrap,3,ap_int<2>,0.497719,0.053,0.892,138.866,0.628,140.382,166,9,1
2000,2,wrap,4,ap_int<2>,0.482044,0.0465,-0.498,142.737,5.82,147.273,168,9,1
2000,2,saturate,0,ap_int<2>,0.870131,0.4675,266.379,154.692,13.908,162.44,174,9,1
2000,2,saturate,1,ap_int<2>,0.885094,0.5425,268.783,158.389,2.162,156.295,178,9,1
2000,2,saturate,2,ap_int<2>,0.878728,0.5085,271.302,157.84,8.762,159.873,184,9,1
2000,2,saturate,3,ap_int<2>,0.882008,0.5065,269.349,153.629,9.694,157.094,166,9,1
2000,2,saturate,4,ap_int<2>,0.882734,0.525,265.788,154.196,4.976,154.864,168,9,1
2000,2,scale,0,ap_int<2>,0.786991,0.293,25.489,22.665,-0.046,22.539,174,9,1
2000,2,scale,1,ap_int<2>,0.788585,0.29,24.79,22.18,-0.054,21.831,178,9,1
2000,2,scale,2,ap_int<2>,0.768241,0.2555,20.221,18.913,0.818,18.815,184,9,1
2000,2,scale,3,ap_int<2>,0.817257,0.3105,32.951,25.117,0.414,25.96,166,9,1
2000,2,scale,4,ap_int<2>,0.800627,0.295,28.441,23.081,-0.262,24.867,168,9,1
2000,4,wrap,0,ap_int<4>,0.502529,0.05,-0.818,476.275,-4.508,476.57,174,9,1
2000,4,wrap,1,ap_int<4>,0.494654,0.0525,7.352,479.35,12.676,478.599,178,9,1
2000,4,wrap,2,ap_int<4>,0.505258,0.05,2.546,466.978,-5.596,453.775,184,9,1
2000,4,wrap,3,ap_int<4>,0.512514,0.057,20.008,461.868,0.188,466.964,166,9,1
2000,4,wrap,4,ap_int<4>,0.50505,0.062,8.402,466.759,0.228,459.259,168,9,1
2000,4,saturate,0,ap_int<4>,0.893755,0.552,1323.34,706.491,50.89,733.963,174,9,1
2000,4,saturate,1,ap_int<4>,0.902272,0.597,1339.021,724.598,13.336,720.54,178,9,1
2000,4,saturate,2,ap_int<4>,0.898502,0.575,1345.692,716.13,42.3,733.302,184,9,1
2000,4,saturate,3,ap_int<4>,0.903546,0.59,1340.741,704.821,42.922,712.337,166,9,1
2000,4,saturate,4,ap_int<4>,0.907309,0.5855,1329.504,702.065,20.48,697.786,168,9,1
2000,4,scale,0,ap_int<4>,0.929987,0.6265,393.006,177.094,13.708,185.697,174,9,1
2000,4,scale,1,ap_int<4>,0.934701,0.7005,396.021,183.687,3.622,184.042,178,9,1
2000,4,scale,2,ap_int<4>,0.938089,0.709,386.321,172.768,12.12,173.333,184,9,1
2000,4,scale,3,ap_int<4>,0.939045,0.695,428.994,188.997,7.376,195.027,166,9,1
2000,4,scale,4,ap_int<4>,0.942553,0.707,414.918,181.822,1.764,193.401,168,9,1
2000,8,wrap,0,ap_int<8>,0.919463,0.6215,9189.278,4350.437,403.908,4511.251,174,9,1
2000,8,wrap,1,ap_int<8>,0.92642,0.6755,9425.56,4512.675,135.78,4575.948,178,9,1
2000,8,wrap,2,ap_int<8>,0.925355,0.6615,9240.13,4393.417,260.676,4427.056,184,9,1
2000,8,wrap,3,ap_int<8>,0.925165,0.5865,9310.968,4317.741,193.052,4564.613,166,9,1
2000,8,wrap,4,ap_int<8>,0.925665,0.643,9135.73,4308.756,202.66,4483.346,168,9,1
2000,8,saturate,0,ap_int<8>,0.932152,0.634,9767.748,4354.406,355.294,4540.184,174,9,1
2000,8,saturate,1,ap_int<8>,0.937449,0.7295,10057.375,4579.291,118.76,4629.957,178,9,1
2000,8,saturate,2,ap_int<8>,0.940601,0.7135,10026.93,4406.593,293.684,4456.032,184,9,1
2000,8,saturate,3,ap_int<8>,0.940391,0.6855,10063.08,4366.988,195.192,4524.061,166,9,1
2000,8,saturate,4,ap_int<8>,0.943759,0.7065,9914.657,4300.612,64.07,4569.506,168,9,1
2000,8,scale,0,ap_int<8>,0.932091,0.637,7154.488,3187.306,260.062,3327.46,174,9,1
2000,8,scale,1,ap_int<8>,0.937432,0.7205,7208.249,3282.41,83.11,3315.996,178,9,1
2000,8,scale,2,ap_int<8>,0.940797,0.7145,6959.779,3057.162,203.388,3089.703,184,9,1
2000,8,scale,3,ap_int<8>,0.940473,0.6855,7735.459,3361.361,149.516,3471.121,166,9,1
2000,8,scale,4,ap_int<8>,0.94398,0.705,7522.069,3260.801,42.456,3465.685,168,9,1
2000,16,wrap,0,ap_int<16>,0.932061,0.6325,9802.91,4367.819,357.316,4559.896,174,9,0
2000,16,wrap,1,ap_int<16>,0.937433,0.723,10097.304,4597.882,117.348,4644.554,178,9,0
2000,16,wrap,2,ap_int<16>,0.940764,0.7155,10082.626,4429.892,296.516,4477.224,184,9,0
2000,16,wrap,3,ap_int<16>,0.940467,0.6835,10112.76,4393.138,194.588,4539.276,166,9,0
2000,16,wrap,4,ap_int<16>,0.943985,0.7075,9953.65,4315.082,56.74,4586.743,168,9,0
2000,16,saturate,0,ap_int<16>,0.932061,0.6325,9802.91,4367.819,357.316,4559.896,174,9,0
2000,16,saturate,1,ap_int<16>,0.937433,0.723,10097.304,4597.882,117.348,4644.554,178,9,0
2000,16,saturate,2,ap_int<16>,0.940764,0.7155,10082.626,4429.892,296.516,4477.224,184,9,0
2000,16,saturate,3,ap_int<16>,0.940467,0.6835,10112.76,4393.138,194.588,4539.276,166,9,0
2000,16,saturate,4,ap_int<16>,0.943985,0.7075,9953.65,4315.082,56.74,4586.743,168,9,0
2000,16,scale,0,ap_int<16>,0.932061,0.6325,9802.91,4367.819,357.316,4559.896,174,9,0
2000,16,scale,1,ap_int<16>,0.937433,0.723,10097.304,4597.882,117.348,4644.554,178,9,0
2000,16,scale,2,ap_int<16>,0.940764,0.7155,10082.626,4429.892,296.516,4477.224,184,9,0
2000,16,scale,3,ap_int<16>,0.940467,0.6835,10112.76,4393.138,194.588,4539.276,166,9,0
2000,16,scale,4,ap_int<16>,0.943985,0.7075,9953.65,4315.082,56.74,4586.743,168,9,0
2000,32,wrap,0,ap_int<32>,0.932061,0.6325,9802.91,4367.819,357.316,4559.896,174,9,0
2000,32,wrap,1,ap_int<32>,0.937433,0.723,10097.304,4597.882,117.348,4644.554,178,9,0
2000,32,wrap,2,ap_int<32>,0.940764,0.7155,10082.626,4429.892,296.516,4477.224,184,9,0
2000,32,wrap,3,ap_int<32>,0.940467,0.6835,10112.76,4393.138,194.588,4539.276,166,9,0
2000,32,wrap,4,ap_int<32>,0.943985,0.7075,9953.65,4315.082,56.74,4586.743,168,9,0
2000,32,saturate,0,ap_int<32>,0.932061,0.6325,9802.91,4367.819,357.316,4559.896,174,9,0
2000,32,saturate,1,ap_int<32>,0.937433,0.723,10097.304,4597.882,117.348,4644.554,178,9,0
2000,32,saturate,2,ap_int<32>,0.940764,0.7155,10082.626,4429.892,296.516,4477.224,184,9,0
2000,32,saturate,3,ap_int<32>,0.940467,0.6835,10112.76,4393.138,194.588,4539.276,166,9,0
